t	K	U	E	T	P
11600	868.6571408557636	-4890.036820841924	-4021.3796799861593	0.6702601395492003	0.5940854649654991
11620	898.5646228687046	-4902.986181971339	-4004.421559102634	0.6933369003616547	0.6927809983106915
11640	905.10136762351	-4901.3145085819415	-3996.2131409584326	0.6983806848946837	0.7032697043500002
11660	882.9278665932209	-4888.468425761908	-4005.540559168688	0.6812715020009421	0.5971084613778482
11680	885.7469460360913	-4902.313374623027	-4016.566428586935	0.6834467176204407	0.662643227414329
11700	894.8161481027139	-4907.037538159421	-4012.2213900567076	0.6904445587212299	0.6989473703669258
11720	873.241009514285	-4885.1595335693755	-4011.9185240550896	0.6737970752425039	0.5627519979660969
11740	870.7271755411873	-4886.65929132886	-4015.932115787672	0.6718573885348668	0.5798016810201304
11760	883.8136419209579	-4896.89064320632	-4013.077001285363	0.681954970618023	0.6394173437481643
11780	884.6722230985613	-4893.118963117011	-4008.446740018449	0.682617456094569	0.6133314597278989
11800	879.0237455854871	-4881.9302140111695	-4002.9064684256837	0.6782590629517646	0.5531170100544321
11820	879.8541282123515	-4874.292602921548	-3994.438474709195	0.6788997902873082	0.5204336250293058
11840	906.8862886247629	-4889.396296021583	-3982.5100073968206	0.6997579387536751	0.6389100354152947
11860	884.9523652762049	-4870.261941918954	-3985.3095766427496	0.6828336151822567	0.4926608838532755
11880	913.5719908805219	-4892.341078901367	-3978.769088020844	0.7049166596300321	0.6194506623256624
11900	878.2530072825181	-4857.261229914284	-3979.008222631766	0.6776643574710787	0.3882027760488984
11920	913.6632909769708	-4895.027003541911	-3981.36371256494	0.7049871072353169	0.6309000202565043
11940	897.3283215905542	-4885.065436102185	-3987.7371145116313	0.6923829641902424	0.6007095811240334
11960	873.5745867721522	-4863.590574073266	-3990.015987301113	0.6740544651019691	0.41882788513677677
11980	881.7551322322473	-4876.192317998765	-3994.4371857665174	0.6803666143767338	0.4635620450661417
