Temperature (K)	Pressure (MPa)	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
334.16	0.10000	54547.	1.8333e-05	4.6006	4.6024	15.203	71.545	75.401	1551.6	-0.20011	459.01	0.65196	liquid
335.16	0.10000	54518.	1.8343e-05	4.6760	4.6778	15.429	71.453	75.409	1552.1	-0.19956	452.22	0.65289	liquid
336.16	0.10000	54488.	1.8353e-05	4.7514	4.7533	15.653	71.361	75.418	1552.6	-0.19901	445.60	0.65380	liquid
337.16	0.10000	54459.	1.8363e-05	4.8268	4.8287	15.877	71.269	75.427	1553.0	-0.19846	439.14	0.65470	liquid
338.16	0.10000	54429.	1.8373e-05	4.9023	4.9041	16.101	71.176	75.436	1553.4	-0.19791	432.84	0.65558	liquid
339.16	0.10000	54398.	1.8383e-05	4.9777	4.9796	16.324	71.084	75.445	1553.8	-0.19736	426.69	0.65645	liquid
340.16	0.10000	54368.	1.8393e-05	5.0532	5.0550	16.546	70.991	75.455	1554.1	-0.19682	420.68	0.65730	liquid
341.16	0.10000	54337.	1.8404e-05	5.1286	5.1305	16.767	70.898	75.465	1554.3	-0.19627	414.82	0.65814	liquid
342.16	0.10000	54305.	1.8414e-05	5.2041	5.2059	16.988	70.804	75.475	1554.6	-0.19572	409.09	0.65896	liquid
343.16	0.10000	54274.	1.8425e-05	5.2796	5.2814	17.208	70.711	75.485	1554.7	-0.19517	403.49	0.65977	liquid
344.16	0.10000	54242.	1.8436e-05	5.3551	5.3569	17.428	70.617	75.496	1554.9	-0.19462	398.03	0.66056	liquid
345.16	0.10000	54210.	1.8447e-05	5.4306	5.4324	17.647	70.523	75.507	1555.0	-0.19407	392.68	0.66133	liquid
346.16	0.10000	54177.	1.8458e-05	5.5061	5.5079	17.866	70.429	75.518	1555.1	-0.19352	387.46	0.66209	liquid
347.16	0.10000	54145.	1.8469e-05	5.5816	5.5834	18.083	70.335	75.530	1555.1	-0.19297	382.36	0.66284	liquid
348.16	0.10000	54112.	1.8480e-05	5.6571	5.6590	18.301	70.241	75.542	1555.1	-0.19242	377.37	0.66357	liquid
349.16	0.10000	54078.	1.8492e-05	5.7327	5.7345	18.517	70.147	75.554	1555.0	-0.19187	372.49	0.66428	liquid
350.16	0.10000	54045.	1.8503e-05	5.8082	5.8101	18.734	70.053	75.567	1554.9	-0.19132	367.71	0.66498	liquid
351.16	0.10000	54011.	1.8515e-05	5.8838	5.8857	18.949	69.958	75.579	1554.8	-0.19076	363.04	0.66567	liquid
352.16	0.10000	53977.	1.8527e-05	5.9594	5.9612	19.164	69.864	75.592	1554.6	-0.19021	358.48	0.66634	liquid
353.16	0.10000	53942.	1.8538e-05	6.0350	6.0368	19.378	69.769	75.606	1554.4	-0.18965	354.01	0.66700	liquid
354.16	0.10000	53907.	1.8550e-05	6.1106	6.1125	19.592	69.675	75.620	1554.2	-0.18910	349.63	0.66764	liquid
355.16	0.10000	53872.	1.8562e-05	6.1862	6.1881	19.805	69.580	75.634	1553.9	-0.18854	345.35	0.66827	liquid
356.16	0.10000	53837.	1.8575e-05	6.2619	6.2637	20.018	69.486	75.648	1553.6	-0.18798	341.16	0.66889	liquid
357.16	0.10000	53802.	1.8587e-05	6.3375	6.3394	20.230	69.391	75.663	1553.3	-0.18742	337.05	0.66949	liquid
358.16	0.10000	53766.	1.8599e-05	6.4132	6.4151	20.442	69.296	75.678	1552.9	-0.18686	333.04	0.67007	liquid
359.16	0.10000	53730.	1.8612e-05	6.4889	6.4907	20.653	69.202	75.693	1552.5	-0.18629	329.10	0.67064	liquid
360.16	0.10000	53693.	1.8624e-05	6.5646	6.5664	20.863	69.107	75.709	1552.0	-0.18573	325.24	0.67120	liquid
361.16	0.10000	53657.	1.8637e-05	6.6403	6.6422	21.073	69.013	75.725	1551.5	-0.18516	321.47	0.67175	liquid
362.16	0.10000	53620.	1.8650e-05	6.7160	6.7179	21.283	68.918	75.741	1551.0	-0.18459	317.77	0.67228	liquid
363.16	0.10000	53582.	1.8663e-05	6.7918	6.7936	21.491	68.824	75.758	1550.4	-0.18402	314.14	0.67279	liquid
364.16	0.10000	53545.	1.8676e-05	6.8675	6.8694	21.700	68.729	75.775	1549.9	-0.18345	310.58	0.67330	liquid
365.16	0.10000	53507.	1.8689e-05	6.9433	6.9452	21.908	68.635	75.793	1549.2	-0.18287	307.10	0.67378	liquid
366.16	0.10000	53469.	1.8702e-05	7.0191	7.0210	22.115	68.541	75.811	1548.6	-0.18230	303.69	0.67426	liquid
367.16	0.10000	53431.	1.8716e-05	7.0949	7.0968	22.322	68.446	75.829	1547.9	-0.18172	300.34	0.67472	liquid
368.16	0.10000	53393.	1.8729e-05	7.1708	7.1726	22.528	68.352	75.848	1547.2	-0.18113	297.05	0.67517	liquid
369.16	0.10000	53354.	1.8743e-05	7.2466	7.2485	22.734	68.258	75.867	1546.4	-0.18055	293.83	0.67561	liquid
370.16	0.10000	53315.	1.8757e-05	7.3225	7.3244	22.939	68.164	75.886	1545.7	-0.17996	290.67	0.67603	liquid
371.16	0.10000	53275.	1.8770e-05	7.3984	7.4003	23.144	68.071	75.906	1544.9	-0.17937	287.57	0.67644	liquid
372.16	0.10000	53236.	1.8784e-05	7.4743	7.4762	23.348	67.977	75.926	1544.0	-0.17878	284.53	0.67683	liquid
372.76	0.10000	53212.	1.8793e-05	7.5196	7.5214	23.470	67.921	75.938	1543.5	-0.17843	282.75	0.67706	liquid
